sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
muntu uusamide nsuti iitete iisiya ula dwaya akayuwe kasyonto acisobanyo cakwe 	16	7668	Female	toi	221213-082737_toi_b9a_elicit_5.wav
mu choma mumwa chooma mwaali kabucesya cooma kacidima 	16	10731	Female	toi	220912-145955_toi_707_elicit_15.wav
wakaide kubbwelemana muma zwi siko wakati kabanyonka biyo ngaabanyina 	16	6760	Female	toi	220912-161719_toi_707_elicit_14.wav
kaindi tibaali kupa kufwambaana 	16	1973	Male	toi	220824-212101_toi_0ae_elicit_42.wav
makani naabetekwa kabotu cilabotezya baluleme pele cilayoosya ucita zibi 	16	12523	Male	toi	220916-171743_toi_97d_elicit_45.wav
kabe kaindi awalo musimbi waakwatwa kumbi 	16	2495	Male	toi	220829-115108_toi_0ae_elicit_32.wav
bakazumanana bacembele taku musimbi uunga waba aamubili muteteete boobo akuneneya kuli boobo cita 	16	9211	Female	toi	221228-094635_toi_b9a_elicit_31.wav
ncocili cibi kwaamba kuti nselyi nkuyu nja kesu 	16	3811	Male	toi	220825-174423_toi_0ae_elicit_46.wav
buzyanya makani amweenzinyoko mwini utayubununi makani aasisidwe aamuntu umbi 	16	8394	Female	toi	221214-091851_toi_b9a_elicit_25.wav
bantu botatwe balimvwi alukwakwa mucisi cizwide zimwi zintu zya lubulo kakuli omwe uleebelela muzimagilazi zyakubonesya zintu kulaale 	16	12999	Female	toi	221212-125952_toi_b9a_elicit_7.wav
elyo wakaleka kuzyala lino rakele naakabona kuti tazyalili jakobo bana wakafwida mucizi wakwe ibbivwe 	16	10640	Female	toi	221229-141356_toi_b9a_elicit_3.wav
nkabela leya wakati ndajana coolwe aboobo wakamuulika izina lya gadi 	16	6828	Female	toi	221229-141356_toi_b9a_elicit_16.wav
kuti naa mubelesi wang nkwali ang anda nindakaswena munsi iyakwe kuti ndibone naa nguni ngundakali kukanana limwi 	16	10958	Female	toi	221228-190233_toi_b9a_elicit_48.wav
