sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
nkabela wakajata cikobela cakwe wati atulale ayebo mpawo wakasia cikobela cakwe mujanza lyakwe wacija waya anze 	16	15019	Male	toi	221011-174142_toi_308_elicit_49.wav
aboobo rakele wakafwa nkabela wakazikwa munzila yaku efrata ngonguwo betelehemu 	16	12500	Male	toi	221011-163041_toi_308_elicit_24.wav
lyoonse mabondo alacaala kaabwa 	16	2246	Male	toi	220829-115108_toi_0ae_elicit_1.wav
bana botatwe umwi kajisi susu lisalala bambi bobilo kajisi masusu a siya zwi balakusobana kaba musilisi a cakusambalila zisani kacibikidwe a desiki lya cisombo 	16	13635	Female	toi	221210-150640_toi_b9a_elicit_3.wav
eci nkaambo kakuyandana kapati ulajana mubasimbi mbatayandi tasiki pe 	16	5558	Male	toi	220824-212101_toi_0ae_elicit_0.wav
mpawo balanda basimbi abana babo bakaswena afwaafwi bakotama 	16	9846	Male	toi	221011-153723_toi_308_elicit_45.wav
nciinga nondo noceenda calo myoyo njibili 	16	3743	Female	toi	220906-211510_toi_707_elicit_30.wav
mpawo bantu bakatolelela cipo eco amali aambi mumaanza aabo a benjamini mwanike wabo banyampuka bainka kuegepita baakwiima kubusyu bwa josefa 	16	12387	Female	toi	221230-204223_toi_b9a_elicit_24.wav
munkomwi yajekete wakazwisya katobolo akasando kakwe akuzibikka kunsi aabbuku atebule kulembela 	16	14633	Male	toi	220912-174208_toi_97d_elicit_5.wav
cakwe iwakali mbubonya mbuli nguwe wamuulika izina lya seti lino mazuba adamu 	16	10481	Female	toi	221228-195818_toi_b9a_elicit_16.wav
cikulukulu nenanda 	16	1111	Male	toi	220829-113143_toi_0ae_elicit_43.wav
waakuswaya umwi muntu waku adulamu izina lyakwe kali hira 	16	7781	Male	toi	221011-170850_toi_308_elicit_43.wav
eeci ciya kuleta kukanana kupati tanaakakkomana mudaala naaba anjini 	16	6760	Female	toi	221228-105726_toi_b9a_elicit_38.wav
ndakamusyambila kakaya kaambo kakaindi nkaakandisyola munsaa banyina 	16	4945	Male	toi	220825-174423_toi_0ae_elicit_6.wav
pele twakaamwaambila kuti ne tuli bantu baluleme tatuli basimutambatamba pe 	16	8326	Female	toi	221230-203112_toi_b9a_elicit_47.wav
aboobo esau wakaakukala munyika yazilundu zya seiri esau ngonguwe edomu 	16	8643	Male	toi	221011-163041_toi_308_elicit_44.wav
