sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
nkombo naakacili kuzibauka mbuli ciyuni nocizyala bana 	16	6148	Female	toi	221228-175149_toi_b9a_elicit_48.wav
na wazumina kundicitila cintu eci buyo njooboola kweembela matanga aako akwaabamba 	16	7623	Female	toi	221229-141356_toi_b9a_elicit_44.wav
anukuti tabana kusalazigwa kubusofwi bwabo bantu bamwi nkobali ma meso aabo alalisumpula 	16	15427	Male	toi	220916-171743_toi_97d_elicit_11.wav
walo wakali kulimvwa kuti abuzuba wali kwiindilila kumuyanda 	16	5762	Female	toi	221228-130305_toi_b9a_elicit_12.wav
mwaalumi ulasotooka kuzwa mumabwe kunjila mulwizyi kakuli bamwi balangilizya 	16	6965	Female	toi	221212-124432_toi_b9a_elicit_7.wav
kantini kajisi milyango yobile ibileka alimwi kenzyo kabalema kayamikidwe a tefule 	16	10073	Female	toi	221207-181110_toi_b9a_elicit_19.wav
ndiyanda kuti ndikanane kuli ba dakuungila wakaamba haamwaandwe 	16	10300	Male	toi	220912-160501_toi_97d_elicit_31.wav
bantu balibunga kuswilila basikwimba kabauma tunamondonga tusiyene siyene 	16	6602	Female	toi	221210-144827_toi_b9a_elicit_44.wav
tunji tunji kamvugwa cindi hili milandu 	16	2382	Male	toi	220825-174423_toi_0ae_elicit_21.wav
pesi walo nokuba boobo taakaleka kubambabamba pe 	16	3539	Male	toi	220829-210823_toi_0ae_elicit_32.wav
kuzyila ku amelika wakakabikka munkomwi yamukati yajekete 	16	10549	Male	toi	220907-201714_toi_97d_elicit_41.wav
bakakkomana bana bakazumanana kusobanya zidooli hamwaandwe wakabafwida luse bana wakayeeya 	16	11729	Male	toi	220907-203915_toi_97d_elicit_7.wav
kuti atasongwaali mumeso aakwe mwini uutuma makani kumulomo wamufubafuba ulakosola zituta zyakwe alimwi ulanywa lunyonyongano 	16	18331	Male	toi	220916-183449_toi_97d_elicit_43.wav
bakabaambila kuti tatukonzyi kucita obo pe tatukonzyi kupa mucizi wesu kuti akwatwe kumwaalumi uutapalwidwe nkaambo kucita obo kulatuusya bweeme 	16	17741	Male	toi	221011-160540_toi_308_elicit_28.wav
bantu beenda kwinda mucibwe abusena aagumanina nzila munsi munsi an ganda iijisi mabala aanyanzabili alimwi aatuba abambidwe kabotu 	16	12478	Female	toi	221213-082737_toi_b9a_elicit_12.wav
musinsi uccovwa ncinga ujisi vwili lyomwe munsi munsi amuntu weenzya honda mumugwagwa wiinda bantu banji 	16	12682	Female	toi	221205-145546_toi_b9a_elicit_26.wav
sikupa malipooti waku bbc ulikkede anze kumwi kabala makani kakuli bantu botatwe basamide zisani zyamabala mabala 	16	9279	Female	toi	221212-151032_toi_b9a_elicit_9.wav
bamaalumi bobilo omwe kaimvwi mpoona omwi kakkwelede ancinga balabandika anze amayake 	16	7169	Female	toi	221207-145254_toi_b9a_elicit_1.wav
ngwani wakajata muuwo mumaanza aakwe ngwani wakaanga maanzi mucikobela 	16	11729	Male	toi	220916-171743_toi_97d_elicit_1.wav
ibana bashonto bobilo bali mumabbusu anyanzabili baleenda munzila yamudolopo kakuli umwi mukaintu mukando usamide mabbusu asiya ulabatobela 	16	10527	Female	toi	221207-165029_toi_b9a_elicit_35.wav
obo buzuba takooni kabotu pe una kunga naona nkokuli moyo 	16	5445	Female	toi	221203-160114_toi_ee8_elicit_8.wav
nkabela wakayaka cipaililo mpoonya awo waulika kuntu oko izina lya el beteli nkaambo 	16	11910	Male	toi	221011-163041_toi_308_elicit_8.wav
