audio	sentence
/scratch/skscla001/speech/data/toigen/audio/221214-101722_toi_b9a_elicit_3.wav	zinji zyakalikuyandika kuti akozye kweelana abenzinyina 
/scratch/skscla001/speech/data/toigen/audio/221204-154324_toi_ee8_elicit_15.wav	akalo kana kakaunka akuya kwaamba mbuli mbokatumwa 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_15.wav	uya kulyata kankonti kakamulebe akupwaya nsuwa 
/scratch/skscla001/speech/data/toigen/audio/221204-133851_toi_ee8_elicit_6.wav	mombe yokwanu ilililwa mukabiya 
/scratch/skscla001/speech/data/toigen/audio/221229-144209_toi_b9a_elicit_6.wav	undilongezye ambebo taata nkabela esau wakakwiila walila mpawo izaka wisi wakamuvwiila kuti 
/scratch/skscla001/speech/data/toigen/audio/220916-171743_toi_97d_elicit_34.wav	meso aalikankaizya amoyo uulisumpula ilampi lyabasizibi zyoonse nzibi 
/scratch/skscla001/speech/data/toigen/audio/221228-203310_toi_b9a_elicit_2.wav	nkabela rebeka kajisi munyinandumi izina lyakwe kali labani 
/scratch/skscla001/speech/data/toigen/audio/221229-142606_toi_b9a_elicit_34.wav	lino nibwakaca wakabona kuti ngu leya mpawo wakaambila labani kuti ninzi eci ncowandicitila 
/scratch/skscla001/speech/data/toigen/audio/221205-133657_toi_b9a_elicit_28.wav	mwaalumi usamide kasoti kacisobano cabaseball usalazya cilindi camubala wacikambwe mujungusi a cisamu cakkilisimasi ciyakide malaiti 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_40.wav	mbokaasikila munsi waakajaya 
/scratch/skscla001/speech/data/toigen/audio/220912-160501_toi_97d_elicit_36.wav	bubo sena kamulindila ndibaite wakaamba muntu wakali kukanana 
/scratch/skscla001/speech/data/toigen/audio/221228-181007_toi_b9a_elicit_20.wav	caalama wakamulanga cakunyandwa mbuli kuti tanaamvwisya kabotu haatimba wakaseka seka katayoyi 
/scratch/skscla001/speech/data/toigen/audio/221230-161409_toi_b9a_elicit_23.wav	nkabela twakaambila simalelo wesu kuti tulijisi wiseesu munene amwanike wesu mwana wabucembele bwakwe 
/scratch/skscla001/speech/data/toigen/audio/220825-172540_toi_0ae_elicit_1.wav	cimwi cindi mutumbu kajisi amwana wakanyamuka 
/scratch/skscla001/speech/data/toigen/audio/221210-160825_toi_b9a_elicit_6.wav	mwana musimbi ula susu bbotu lilamfu ulakulanga matu musokwe 
/scratch/skscla001/speech/data/toigen/audio/221230-133110_toi_b9a_elicit_4.wav	mwaalumi amwana musimbi cakukkomana bayimikila kufwotolwa kumusyika kumbele acikkocci cabo 
/scratch/skscla001/speech/data/toigen/audio/220829-204606_toi_0ae_elicit_11.wav	utakaile kuvuumuka kukwata antela kukwatwa kumuntu 
/scratch/skscla001/speech/data/toigen/audio/221011-170850_toi_308_elicit_14.wav	ukabone bakulana bako na bali kabotu azyalo imbelele na zili kabotu uzoondaambile makani 
/scratch/skscla001/speech/data/toigen/audio/221011-174142_toi_308_elicit_26.wav	alimwi wakati bona uzibe na nzizyani zintu ezi cinamatizyo antambo amusako 
/scratch/skscla001/speech/data/toigen/audio/221210-142024_toi_b9a_elicit_6.wav	kabunga ka ba malumi bo tatwe bonse kabasamide ma jiini balakwenda mukazila 
/scratch/skscla001/speech/data/toigen/audio/220916-181440_toi_97d_elicit_13.wav	ntootu tusimpi atumwi twa solomoni ntubakalembulula bantu bahezekiya mwami wa juda 
/scratch/skscla001/speech/data/toigen/audio/221213-153046_toi_b9a_elicit_46.wav	pele imbono zyabasizibi zilayobwedwa baluleme bulilu bunji mobuli munyika yabacete 
/scratch/skscla001/speech/data/toigen/audio/220829-205441_toi_0ae_elicit_18.wav	omukaintu wakwe 
/scratch/skscla001/speech/data/toigen/audio/221207-213049_toi_b9a_elicit_13.wav	muntu singuzu ulakutondezya nguzu zyakwe ansi 
/scratch/skscla001/speech/data/toigen/audio/220824-212101_toi_0ae_elicit_6.wav	kaciba biya amiciso mibi mafuwa cikulekele 
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_23.wav	jakobo mbwaakasinana a leza 
/scratch/skscla001/speech/data/toigen/audio/221210-175557_toi_b9a_elicit_22.wav	muntu winvwi kumbali a mulundu 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_19.wav	abalo bana balombe ba jakobo nibakamvwa makani bakaboola kuzwa musokwe 
/scratch/skscla001/speech/data/toigen/audio/221210-181328_toi_b9a_elicit_11.wav	mubwa usalala salala ujisi ca kusobanisya ca nyazabili kumulomo wakwe 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_37.wav	alimwi musimbi waakwatwa kale kumbi 
/scratch/skscla001/speech/data/toigen/audio/220829-210132_toi_0ae_elicit_31.wav	uuya muntu bukandu waakunjila mumakwe utana akwaanzyigwa 
/scratch/skscla001/speech/data/toigen/audio/220829-113431_toi_0ae_elicit_20.wav	mumakuwa akaboole lili limwi ajane ndeusyi ndafwa 
/scratch/skscla001/speech/data/toigen/audio/220907-201714_toi_97d_elicit_42.wav	katana kabikka mujekete katobolo aka wakasaanguna kulanga kuti naa kali kabotu 
/scratch/skscla001/speech/data/toigen/audio/221213-134611_toi_b9a_elicit_0.wav	pele kubwanta kwamufubafuba kulaleta lunyonyooko imbono zyamuvubi munzi wakwe muyumu 
/scratch/skscla001/speech/data/toigen/audio/221210-174315_toi_b9a_elicit_8.wav	mwalumi ulakulyolola manza a tefule kakuli bamakaintu bobilo balakubandika 
/scratch/skscla001/speech/data/toigen/audio/221214-090248_toi_b9a_elicit_11.wav	utasukami zilyo zyakwe zilweela nkaambo ulayeeya yeeya mumoyo wakwe ulaamba kuti kolya akunywa 
/scratch/skscla001/speech/data/toigen/audio/220912-171124_toi_97d_elicit_45.wav	wakaamba haamwaandwe kumwi kazwisya makumi one amusanu 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_38.wav	tuzumine kucita cintu comwe nkukuti tuleelede kuzumina kuti baalumi boonse akati kesu bapalulwe mbubonya mbuli mbubapalwidwe balo 
