sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
mwaalumi uukkede mucuuno capulasitiki camubala wacikambwe uyupa cisyumani mukatiba kaali acuuno cimbi 	16	9301	Female	toi	221212-123117_toi_b9a_elicit_5.wav
nkabela yakajwa pepe lyomwe yakabika mucisuwo 	16	4741	Male	toi	220829-121443_toi_0ae_elicit_16.wav
mwaalumi uusamide bulukwe bwa cikambwe asikipa ya cikambwe ulikkede acincini cakuwacha zisani kasanzya mpulungwido 	16	11752	Female	toi	221213-094854_toi_b9a_elicit_11.wav
ulizyi usyi musimbi kuti tonookasalazigwa kkumi iyamyaka yayinda naakafwa mukaintu wako haatimba 	16	12251	Female	toi	221228-124509_toi_b9a_elicit_13.wav
kuti nindajisi mali biya nindazyuula zyoonse izyili momuno amana walo kaya kwabo 	16	8780	Female	toi	221228-102126_toi_b9a_elicit_38.wav
mukaintu usamide cisani cibotu cuubauba ukkede amamntilo acipulanga mpoonya ubala mulembi waku brazil coelbo 	16	12228	Female	toi	221230-121748_toi_b9a_elicit_15.wav
inga naakamukwanga mpoona mpaakakkede coonse cilongwe cabo nicakamana nkaambo taku mbwaakali 	16	8984	Female	toi	221228-104522_toi_b9a_elicit_47.wav
babwa bobilo aaba bali anze kakuli omwe uli ansi alimwi umwi ulasotooka mumuuya kubweza bbola 	16	7214	Female	toi	221213-112404_toi_b9a_elicit_10.wav
cakunyangana citola uya uunyangauka 	16	2314	Male	toi	220829-210823_toi_0ae_elicit_46.wav
mufwambaane biyo taata buzuba bomwe tabubozyi uya kwi ya juunza taata langa ndapenga biya 	16	8280	Female	toi	221203-121206_toi_ee8_elicit_43.wav
basikulyana batondenzya balakusona kulyana ku mbunga ilakulangilizya chakumaninina 	16	9596	Female	toi	221207-182835_toi_b9a_elicit_37.wav
imbono ziyandika zilakala mung anda yamusongo pele muntu mufubafuba ulazimwayaula 	16	13136	Male	toi	220916-174104_toi_97d_elicit_0.wav
mukaintu uboneka mbulikuti usamununa na usama bbusu kumbele kwa cikwankwani 	16	7963	Female	toi	221213-085747_toi_b9a_elicit_5.wav
mwaalumi uutonka pulemu yamwana kunkomwe mukaintu uula mwana musankwa kumpela 	16	8258	Female	toi	221212-132756_toi_b9a_elicit_11.wav
mwaalumi uula mubwa uusiya ulikkede mukabwato camubala wamungunga waji ka iibuka mumenda aboombede 	16	10277	Female	toi	221212-115841_toi_b9a_elicit_18.wav
kabunga kabana bauma bbola mumuunda kumwi kakuboneka azyiba kunze 	16	6307	Female	toi	221230-120719_toi_b9a_elicit_21.wav
mucibona aakale bakombwe banji balwana okuno nkoamba boobo ndayeeya cindi nindakacili mwana 	16	11071	Female	toi	221228-093456_toi_b9a_elicit_45.wav
kakanjila mbuli kuti wauma atala aacitende cakabola 	16	4855	Female	toi	221228-190711_toi_b9a_elicit_7.wav
foci ciimbo cilaimbwa nyeendo zinji nobafumba mavu mane umwi kakaye kakamuwide 	16	10935	Female	toi	220904-001239_toi_707_elicit_12.wav
kukala acooko cakulululi lwang anda nkubotu kwiinda kukala amwanakazi silwaambwe mung anda impati 	16	10141	Female	toi	221214-084847_toi_b9a_elicit_13.wav
basikuzyana bali bosanwe bajanikizigwa a zuba kabali mumulenga lenga mung anda ya cizyanino 	16	9120	Female	toi	221230-144601_toi_b9a_elicit_43.wav
mwalumi wakwazumuna manza akwe kajisi a panga lyasinkondo kukwanza kwake kwa lulyo elyo a bantu bonse musyule lyakwe bacita oobo 	16	14134	Female	toi	221207-182835_toi_b9a_elicit_14.wav
mung anga uuli woonse nkobakamutola kwategwa namoonga wakala cibinde 	16	6397	Female	toi	221228-124509_toi_b9a_elicit_32.wav
musimbi usamide chibaki chamsyobo usiya alimwi achibbudla chamusyobo wachisombo ulalyumba antambo a bwato 	16	9097	Female	toi	221207-173408_toi_b9a_elicit_22.wav
mootokala acisani sakali kwiile kwaalabana mumootokala 	16	6397	Female	toi	221228-150641_toi_b9a_elicit_40.wav
mwaalumi amukaintu basasamide basyaamankwamubakumbatana kupobwe yaanze 	16	7940	Female	toi	221212-151620_toi_b9a_elicit_2.wav
