sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
musule aceeci tuyoobonana kubusyu ambweni ulanditambula 	16	6329	Male	toi	221011-153723_toi_308_elicit_21.wav
mbuboobo izaka mbwaakatuma jakobo nkabela wakainka ku padanaramu kuli labani mwana wa betueli mu aramu mukulana wa rebeka banyina jakobo a esau 	16	8643	Female	toi	221229-144209_toi_b9a_elicit_28.wav
lino labani wakaampaampa moonse mucilao pele taakwe ncaakajana nee 	16	8598	Male	toi	221011-123458_toi_308_elicit_8.wav
miyeeyo yabaluleme niabulemu pele makanze aabasizibi ngalweeno 	16	7441	Female	toi	221213-151941_toi_b9a_elicit_0.wav
nkaambo ulayeeya yeeya mumoyo wakwe ulaamba kuti kolya akunywa nekubaboobo moyo wakwe tuuli ayebo 	16	16720	Male	toi	220916-174104_toi_97d_elicit_40.wav
nkaambo kakuti abrahamu wakaswiilila ijwi lyangu akubamba imbeta zyangu milazyo yangu indayo zyangu amulao wangu 	16	9369	Female	toi	221230-114451_toi_b9a_elicit_10.wav
mubwa uusiya siya alimwi kuutuba wasotooka musemu wamabala aasubila mungunga waji alimwi auutuba 	16	11026	Female	toi	221212-150524_toi_b9a_elicit_23.wav
cakali kwiile kubee ncaano mbuli caba mwaaba a sulwe pesi kacili masimpe a nguni unga tasyomi 	16	8870	Female	toi	221228-185504_toi_b9a_elicit_11.wav
pesi eli izyina tabalizyi bantu banji neotweelede kuzyiba neakuti mwezi oyu izyina ibbotu ndilya mukubwe kaangala 	16	14678	Female	toi	220903-202609_toi_707_elicit_32.wav
mpoonya awo boonse ibakali kunjila mumulyango wamunzi wakwe bakaswiilila hamori a sekemu mwanaakwe 	16	12319	Male	toi	221011-160540_toi_308_elicit_40.wav
uya kusika kucisi cabantu nkootayeeyede akuti inga uya kusika limwi 	16	5104	Male	toi	220829-210823_toi_0ae_elicit_23.wav
mwaalumi uusamide zyisani zyituba ulipetede maulu kukkala mumbali azyisuwo zyijisi cisyu mani ciindene indene kumusyika 	16	11003	Female	toi	221205-203343_toi_b9a_elicit_24.wav
mulandu tauligw cucu 	16	1452	Male	toi	220829-115108_toi_0ae_elicit_22.wav
ino nkokutyani oko sulwe wakabuzya suntwe 	16	3380	Female	toi	220906-213431_toi_707_elicit_1.wav
pe basa kamuya biyo munywe nkanywe cibwantu biya 	16	3289	Male	toi	220825-174423_toi_0ae_elicit_28.wav
sizibi ulajana zyakuvola zyalweeno pele uubyala bululami ulajana impindu iitamani 	16	11706	Female	toi	221213-134611_toi_b9a_elicit_32.wav
haatimba tanaakaninga salazigwa ono ngooyu mudolopo wabwezela musimbi 	16	7645	Female	toi	221228-105726_toi_b9a_elicit_37.wav
muntu utanta mulundu mulamfwu uupapalete kumwi kajilisidi ntambo yakulikwabilizya 	16	8144	Female	toi	221230-123721_toi_b9a_elicit_47.wav
mulomo tabaambi nyeele ini pe 	16	2472	Male	toi	220829-123454_toi_0ae_elicit_23.wav
wakapandulula kumapulisa mbuli bantu aba mbobakabambidwe anzyobakasamide 	16	7418	Male	toi	220907-201714_toi_97d_elicit_19.wav
makani aaya nkaambo wakazyi mbuli moyo wamusankwa wakali kuyanda kukwata mwanaakwe mbuwakabede 	16	7986	Female	toi	221228-100948_toi_b9a_elicit_1.wav
muntu ulatembaulwa mbubonya mbuli busongo bwakwe pele bapilingene myoyo balasampaulwa 	16	11910	Female	toi	221213-151941_toi_b9a_elicit_3.wav
alimwi nkwali munyama aumwi ngobakabona utaciti mafwaafwa cita afwide mukalonga antela munsaa musamu 	16	9642	Male	toi	220829-113431_toi_0ae_elicit_13.wav
nkabela leza wakamwaambila kuti izina lyako nduwe jakobo pele tokooyooambwa limbi kuti nduwe jakobo pe izina lyako liyooba israyeli 	16	12954	Male	toi	221011-163041_toi_308_elicit_12.wav
mumwezi oyu macembele oonse ajisi lusyomo lwakuti indongwe zyabo ziyakuba kabotu aboobo balatalika kutwa kayobe 	16	13181	Female	toi	220903-202609_toi_707_elicit_15.wav
mucibona aakale bakombwe banji balwana okuno nkoamba boobo ndayeeya cindi nindakacili mwana 	16	11071	Female	toi	221228-093456_toi_b9a_elicit_45.wav
nkabela wakajata cikobela cakwe wati atulale ayebo mpawo wakasia cikobela cakwe mujanza lyakwe wacija waya anze 	16	15019	Male	toi	221011-174142_toi_308_elicit_49.wav
mudaala uusamide sikipa iisiya iilembedwe njisi nyimbo alimwi anzyeete yabasin gombe usobanya bbanjo 	16	8870	Female	toi	221213-103711_toi_b9a_elicit_24.wav
mwaalunmi uusamide sikipa isubila subila yamyeengu myeengu ujisi cimmwi cintu camubala wacikambwe 	16	7827	Female	toi	221205-153008_toi_b9a_elicit_20.wav
kusikila limwi haatwakwe akawite muya wako kukupegwa cisubulo cimbi ncoelede 	16	15881	Male	toi	220912-160501_toi_97d_elicit_18.wav
bankala bobile batija kuzya mukazila katali a nyanzabili akusiya munkala omwe kusyule 	16	9324	Female	toi	221207-171156_toi_b9a_elicit_25.wav
alimwi nguukuzyi kabotu omwanalumi mbopona 	16	3130	Male	toi	220829-113431_toi_0ae_elicit_3.wav
tusimpi atumwi twamisyobo misyobo cenjeka kutwi kwako ukaswiilile majwi aabasongo 	16	16198	Male	toi	220916-174104_toi_97d_elicit_26.wav
lino farao wakaambila josefa kuti muciloto cangu ndakaliimvwi ankomwe yalwizi 	16	7033	Male	toi	221011-181531_toi_308_elicit_10.wav
simeso asiya siya usamide magogo alimwi a juzi li tuba kajisi a kana kakwe kaniini kasimbi kalamasusu abaluka baluka 	16	11253	Female	toi	221207-171156_toi_b9a_elicit_19.wav
tunji tunji inga waakupiluka nolilampa nokuba kuti inga wazya wacembaala kale tacikwe mulimo 	16	7713	Male	toi	220829-113431_toi_0ae_elicit_29.wav
pesi natayandi buti uya kuuleta bakaamba kale kuti kupwaya nwa mbutezi 	16	6284	Male	toi	220829-115108_toi_0ae_elicit_19.wav
wakati tola mwanaako simuzyalwaalike ngoyandisya nkokuti izaka ukainke kunyika 	16	9823	Female	toi	220929-204510_toi_97d_elicit_46.wav
kuti nindajisi mali biya nindazyuula zyoonse izyili momuno amana walo kaya kwabo 	16	8780	Female	toi	221228-102126_toi_b9a_elicit_38.wav
kuti atasongwaali mumeso aakwe mwini uutuma makani kumulomo wamufubafuba ulakosola zituta zyakwe alimwi ulanywa lunyonyongano 	16	18331	Male	toi	220916-183449_toi_97d_elicit_43.wav
bobile mboli abo kuti utasyukuti mumilandu yamunzi lino naakacili kuzyozyoka bantu 	16	12296	Female	toi	220929-200958_toi_97d_elicit_24.wav
ino kayi haamwaandwe uulya uukusinkilide bakabuzya bausyi 	16	7691	Female	toi	221228-095833_toi_b9a_elicit_4.wav
alakwe leya wakaswena abana bakwe bakotama kumanizya bakaswena josefa a rakele bakotama 	16	12931	Male	toi	221011-153723_toi_308_elicit_46.wav
kuti maanzi atalika kuceya ansi lino wakalindila alimwi mazuba aali musanu aabili 	16	9891	Female	toi	220904-185526_toi_0ae_elicit_5.wav
ncotwaamba kuti inzi ikukala njkuyanda maulu aamufwu azyibilwa kumwana 	16	6034	Male	toi	220824-212101_toi_0ae_elicit_1.wav
yaa twakaunka buyo antoomwe amwanooyo musyokwe 	16	2745	Male	toi	220825-172540_toi_0ae_elicit_46.wav
taata cibwantu coonse catila mongo oonse musozya ameenda zyatila notwali kunkuni 	16	5853	Male	toi	220825-174423_toi_0ae_elicit_43.wav
naakabona kuti bana bakwe bakakkede kabotu mumaanda aabo mudaala wakabaa ntunda 	16	9574	Female	toi	221228-095833_toi_b9a_elicit_44.wav
wakati kondipa cinamatizyo cako antambo yako amusako uuli mujanza lyako 	16	9801	Male	toi	221011-174142_toi_308_elicit_16.wav
pesi kotamvwi kuti caa mbanzi 	16	1610	Male	toi	220825-180654_toi_0ae_elicit_0.wav
bakaambila mwami kuti tiibakaa kucijana kwa haanangama 	16	4378	Female	toi	221228-144729_toi_b9a_elicit_12.wav
wakaavwunga wabikka munkomwi amane waunka haamwaandwe wakajana musankwa 	16	10549	Male	toi	220912-174208_toi_97d_elicit_0.wav
utalikankaizizyi zyajunza nkaambo tozi na buzuba bulaleta nzi muntu umbi akutembaule mulomo wako omwini pe 	16	18535	Male	toi	220912-191425_toi_97d_elicit_21.wav
kankala kamusyobo wasikkaka kali mubwizu a ng ombe ya 	16	5739	Female	toi	221207-174147_toi_b9a_elicit_23.wav
taakwe uumwaampa uutajisi mulandu 	16	3834	Female	toi	221213-121824_toi_b9a_elicit_23.wav
kuti kubukoko mwalwana amweenzinyoko umwi 	16	2200	Male	toi	220825-180654_toi_0ae_elicit_20.wav
mukaintu usamide delesi lya cikambwe ujisi maluba luba a mukuba a tefule a cakulya ca masiku a mwalumi unenede kumbele lyakwe 	16	12886	Female	toi	221207-210037_toi_b9a_elicit_11.wav
tuli babunyina bali ikumi ababili bana bamuntu omwe umwi taciwo amuniini wasyaala kuliwiseesu munyika ya kanana 	16	10005	Female	toi	221230-203112_toi_b9a_elicit_48.wav
ndakayoowa kapati cakunga mizeezo yakandimana mpamunya ndakabona kuti fwooni yakuzyuli tibakaikosaula 	16	14157	Male	toi	220907-201714_toi_97d_elicit_4.wav
wesu bakali kusambala nswi 	16	1724	Male	toi	220829-210132_toi_0ae_elicit_46.wav
kana kasimbi a masusu a muchila wa ngulube kalakushelemuka a kalyumbo ka nyanzabili 	16	9528	Female	toi	221210-151232_toi_b9a_elicit_23.wav
kufwumbwa citikacitike mebo nsekanjili tee kuli maseseke ngosisa kuli cipati cilubide aamwi ziyakukubeda olikke 	16	15041	Female	toi	221228-100948_toi_b9a_elicit_29.wav
aboobo ndanywa azyalo inkamele zyanywa mpawo ndamubuzya kuti ino uli mwana wani 	16	8258	Female	toi	221228-203310_toi_b9a_elicit_33.wav
misukulu ya esau lino njeeyi mizukulu ya esau ngonguwe edomu 	16	9982	Male	toi	221011-163041_toi_308_elicit_35.wav
nkombo wakalimuzyi kalinda mbwaakali kupona akaluwe 	16	7441	Female	toi	221228-130305_toi_b9a_elicit_42.wav
sena ncibotu omweenzu mboounkila kumasaa bantu 	16	2972	Male	toi	220829-204606_toi_0ae_elicit_4.wav
bakatalika kumyontana milaka kwaciindi cilamfwu kumwi kabakumbetene 	16	5422	Female	toi	221228-181007_toi_b9a_elicit_26.wav
kakuli mwaalumi umwi uujisi nzyeete yacikambwe ulabalanga kunze kwabo 	16	6080	Female	toi	221212-093944_toi_b9a_elicit_1.wav
ooyu mukaintu wakati aa ino ncitenzi 	16	2563	Male	toi	220825-172540_toi_0ae_elicit_8.wav
tuzumine kucita cintu comwe nkukuti tuleelede kuzumina kuti baalumi boonse akati kesu bapalulwe mbubonya mbuli mbubapalwidwe balo 	16	15926	Male	toi	221011-160540_toi_308_elicit_38.wav
cidada cipati ciyuunya mababa mbuli mbocizwa mumeenda 	16	5422	Female	toi	221212-125046_toi_b9a_elicit_41.wav
mwaalumi uusamide sikipa iituba abulukwe bufwaafwi ulibambila kufwusa bbola 	16	6261	Female	toi	221213-100518_toi_b9a_elicit_1.wav
naakanyamuka kulanga wakaile kwaasama mabbuku aakali mumaanza akaloka ansi 	16	12546	Male	toi	220912-160501_toi_97d_elicit_23.wav
alimwi atutangane buzwalani bwalukwatano kuti mutupe bana banu basimbi anywebo mutole bana besu basimbi 	16	14179	Male	toi	221011-160540_toi_308_elicit_23.wav
akale inga umwi kaya kutozya kajinjinji kuwa bakakkala zyuuno zyamipando haamwaandwe 	16	10799	Female	toi	221228-151724_toi_b9a_elicit_10.wav
wakabatola wabazubusya kalonga azyalo zintu zyoonse nzyaakali azyo 	16	7191	Male	toi	221011-153723_toi_308_elicit_26.wav
jumbabula wakavuwa kuti umuna mudaala uya kucilya cinkomba buzuba mboya kupenga 	16	7804	Female	toi	221204-123335_toi_ee8_elicit_36.wav
moonse buu ulati kunyina cakasyangidwe 	16	2246	Male	toi	220829-121443_toi_0ae_elicit_49.wav
mwana ula masusu aatuba tuba uusamide sikipa yanyanzabili ulikkede mucuuno cizungulukidwe azyuuno zimwi zyanyanzabili 	16	9619	Female	toi	221213-104257_toi_b9a_elicit_3.wav
mwaalumi uta samide sikipa utanta malundu amabwe 	16	4287	Female	toi	221213-112914_toi_b9a_elicit_13.wav
tebule iizude zyakulya mitiba mafoloko zipeni munyo alimwi atwakusansila sautu uusiya 	16	10980	Female	toi	221212-131327_toi_b9a_elicit_3.wav
hagare ngwaakazyala izina lya ismayeli abramu kajisi myaka iili makumi aali musanu 	16	10164	Female	toi	220927-211022_toi_97d_elicit_43.wav
pele na basizibi babuka bantu balayuba uusisa milandu yakwe takooyooba acoolwe pe 	16	12909	Male	toi	220916-164149_toi_97d_elicit_6.wav
eci caamba kuti nokuba kuti muntu ano ansi aliyobolole buti kuti ntaleti mulandu uya kuuleta nolilampa 	16	7963	Male	toi	220829-115108_toi_0ae_elicit_16.wav
taakwe busongo taakwe luzibo taakwe lulayo lukonzya kubisizya jehova 	16	11071	Male	toi	220916-174104_toi_97d_elicit_9.wav
pele mutamubikili maanza aanu wakaamba obo kuti amuvune kumaanza aabo akumupilusya kuliwisi 	16	10753	Male	toi	221011-170850_toi_308_elicit_24.wav
nkabela bantu ibakali kumulyango wang anda baniini abapati boonse buyo 	16	7554	Female	toi	220929-200958_toi_97d_elicit_16.wav
