sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
milomo yamufubafuba ilaleta inkondo mulomo wakwe ulaita mibunda 	16	6443	Female	toi	221214-081355_toi_b9a_elicit_31.wav.wav
bulukwe buboneka mbuli delesi alimwi atai ulimwi munsi munsi abulo buyalidwe kabotu mu luumu iisalala 	16	9982	Female	toi	221213-083947_toi_b9a_elicit_25.wav.wav
mukaintu uusamide sikipa iisubila ulanga langa cinga yomwe aali macinga manji kakuli mwaalumi usamide sikipa yamubala wacikambwe ubamba bamba vwili 	16	13907	Female	toi	221212-094543_toi_b9a_elicit_20.wav.wav
makani aamwi aabubotu bwabusongo nobana amuswiilile lulayo lwauso 	16	7509	Female	toi	221213-114114_toi_b9a_elicit_48.wav.wav
elyo ciindi cakufwa kwa israyeli nicakasika kufwaafwi wakaita mwanaakwe josefa wamwaambila kuti 	16	7078	Female	toi	221230-151048_toi_b9a_elicit_5.wav.wav
bantu bobilo bafwusa mabbola manji akwaajata oonse ciindi comwe bajisi amunzenge basobanina mbunga yabantu bakkede amatantilo 	16	11343	Female	toi	221230-121748_toi_b9a_elicit_24.wav.wav
bana bobile balakusobana a moota wakusobanisya munzila a muntu mupati omwe 	16	7532	Female	toi	221207-211353_toi_b9a_elicit_14.wav.wav
mukaintu ulaamasusu asiya mbi usamide kalembo kakukutaukila kamubala wanyanzabili ausubila wakkala akati kamalubaluba akusambala mumugwagwa wadolopo 	16	14860	Female	toi	221230-122753_toi_b9a_elicit_43.wav.wav
hagare mu egepita mulanda wakwe musimbi abramu naakamana kukala myaka iili ikumi 	16	11298	Female	toi	220927-211022_toi_97d_elicit_22.wav.wav
kana kasimbi kasamide cisani ca nkwiki kwiki walakama mulaka wakwe anze 	16	6420	Female	toi	221210-174855_toi_b9a_elicit_16.wav.wav
musimbi uyanda kuuma kaneti kalakusika atala a mutwe wakwe akasabwi kakaneti 	16	8530	Female	toi	221207-182835_toi_b9a_elicit_10.wav.wav
nibwakaca bakabuka elyo wakati amundisungule kuya kulisimalelaangu 	16	7736	Female	toi	221228-203310_toi_b9a_elicit_46.wav.wav
mubwa uusiya siya alimwi kuutuba wasotooka musemu wamabala aasubila mungunga waji alimwi auutuba 	16	11026	Female	toi	221212-150524_toi_b9a_elicit_23.wav.wav
mukaintu uusamide sikipa iisiya abulukwe bwa cikambwe usobanya tubwa tobilo amanza aakwe 	16	6579	Female	toi	221212-093156_toi_b9a_elicit_2.wav.wav
musimbi uusamide campeyo cacisombo alimwi kanyamude bbeke yagwezyo ulangide kutaala kakuli bantu banji kunze kwakwe 	16	8848	Female	toi	221213-103711_toi_b9a_elicit_5.wav.wav
cikolo bakali kundisinganya muciindi cakundilumba kalombwana sikale wakali musongo wakati 	16	8598	Female	toi	221228-104522_toi_b9a_elicit_32.wav.wav
jakobo wakavuwa kuti taanguna kunduuzizya bupati bwako esau wakati langa 	16	7940	Female	toi	221230-115905_toi_b9a_elicit_50.wav.wav
mubwa uusiya akutba utandaanya mubwa mupati kutalaa bwizu 	16	4741	Female	toi	221212-124432_toi_b9a_elicit_20.wav.wav
wamujana kucilundu ca gileadi pele leza wakasikila labani mu aramu muciloto camasiku 	16	8280	Female	toi	221230-210020_toi_b9a_elicit_41.wav.wav
tee kayi ulaazyi kabotu kabotu makani kuti wakabeja 	16	6329	Female	toi	221228-162240_toi_b9a_elicit_18.wav.wav
lizibe ncolyaamba alimwi cite ncolikwaambila uzi kuba muntu 	16	5240	Female	toi	220912-144621_toi_707_elicit_26.wav.wav
sena muli hamwaandwe wakalanga mupulisa wakaimvwi munsi aakandukunduku kakwe ajeneeno 	16	11230	Female	toi	221214-103945_toi_b9a_elicit_7.wav.wav
aa nkubuzya bazyali nzi kumwi nkomuyanda kunze lyakooko micito yakacita bausyi musimbi yakali kutondezya kuti 	16	10073	Female	toi	221228-183113_toi_b9a_elicit_2.wav.wav
bantu bobilo balabeleka omwe ulapima mpoona umbi ulalangilizya 	16	7759	Female	toi	221205-160542_toi_b9a_elicit_7.wav.wav
lino josefa wakaambila baku la na bakwe kuti mebo ndaamba kufwa pele leza ncobeni unoomuswaya akumupozya munyika ino 	16	11820	Female	toi	221230-144601_toi_b9a_elicit_31.wav.wav
bantu bakali biyo kwiinsauka kuzyana ng anda yoonse 	16	4424	Female	toi	221228-102126_toi_b9a_elicit_25.wav.wav
kumatalikito aamwezi oyu bantu boonse babamba matalaabo kuti babike kabotu zyakulya zyabo kukati 	16	11956	Female	toi	220903-202609_toi_707_elicit_44.wav.wav
basikusobana zisobano bobilo basamide mayunifoomu balasobana mumuzundano amwaalumi wankamu yabasikuzundana imwi 	16	9687	Female	toi	221213-083947_toi_b9a_elicit_17.wav.wav
alo eci cilikasimpe nkaambo kumatalikilo aamwezi oyu kuli mazuba ali cisanu mwaatatu aajisi guwo linji alimwi amakumbi avumba izuba mane kusikila kukumana kwamazuba ayo 	16	20940	Female	toi	220903-234119_toi_707_elicit_47.wav.wav
musimbi uli a susu damfu lili mbuli muchila wa ngulube a ci bbeke cijisilini a ka po ka mukuba 	16	8439	Female	toi	221210-172122_toi_b9a_elicit_24.wav.wav
elyo kaini wakaswanana amukaakwe nkabela wakaminta wazyala enoki alimwi 	16	7532	Female	toi	221228-194723_toi_b9a_elicit_45.wav.wav
ncitutangene anyika kuyooba kuti na ndabusya ijoba ajulu lyanyika fulicoongo wangu 	16	12024	Female	toi	220904-190848_toi_0ae_elicit_42.wav.wav
mwalumi usamide chibaki chituba walanga kujulu mbulikuti ulakwambula a muntu uli afwafwi a mukaintu umbi ulianze ujisi chibumbe chibotu kapati 	16	14338	Female	toi	221207-174147_toi_b9a_elicit_13.wav.wav
mwalumi a mukaintu bala zyana kumbali mukaintu mucembele ulinvwi amana bambi ba makaintu balaebelelela mumbali 	16	9188	Female	toi	221210-150640_toi_b9a_elicit_6.wav.wav
wakali mwana wakazwa mung anda mvwumbe caalama a haamwaandwe bakayandana akuzuminana 	16	11071	Female	toi	221228-095833_toi_b9a_elicit_48.wav.wav
aalo matwi kaakazya ncaakali kumvwa 	16	3856	Female	toi	221228-183113_toi_b9a_elicit_23.wav.wav
mwana musimbi a cisono cipentedwe cikambwe alimwi a mungungawaji mponya musyule tamulibonyi kabotu 	16	8938	Female	toi	221207-215437_toi_b9a_elicit_18.wav.wav
musankwa ujiswi ku mwalumi umbwi watondoka munwe wakwe ku juku musankwa umbi ulakulangisisya kujulu kutobela kwanza 	16	12364	Female	toi	221210-161339_toi_b9a_elicit_16.wav.wav
uyooenda abula bwako abulongo buyooba zilyo zyako mazuba oonse aabuponi bwako 	16	7600	Female	toi	221228-194723_toi_b9a_elicit_5.wav.wav
mukaintu usamide delesi lya cikambwe ujisi maluba luba a mukuba a tefule a cakulya ca masiku a mwalumi unenede kumbele lyakwe 	16	12886	Female	toi	221207-210037_toi_b9a_elicit_11.wav.wav
bantu bali cisambomwe baliimvwi mung anda yazitina zyasamende kakuli cipulasitiki acisuwo camubala wanyanzabili ansi 	16	10368	Female	toi	221214-095051_toi_b9a_elicit_5.wav.wav
