audio	sentence
/scratch/skscla001/speech/data/toigen/audio/221214-081355_toi_b9a_elicit_31.wav	milomo yamufubafuba ilaleta inkondo mulomo wakwe ulaita mibunda 
/scratch/skscla001/speech/data/toigen/audio/221213-083947_toi_b9a_elicit_25.wav	bulukwe buboneka mbuli delesi alimwi atai ulimwi munsi munsi abulo buyalidwe kabotu mu luumu iisalala 
/scratch/skscla001/speech/data/toigen/audio/221212-094543_toi_b9a_elicit_20.wav	mukaintu uusamide sikipa iisubila ulanga langa cinga yomwe aali macinga manji kakuli mwaalumi usamide sikipa yamubala wacikambwe ubamba bamba vwili 
/scratch/skscla001/speech/data/toigen/audio/221213-114114_toi_b9a_elicit_48.wav	makani aamwi aabubotu bwabusongo nobana amuswiilile lulayo lwauso 
/scratch/skscla001/speech/data/toigen/audio/221230-151048_toi_b9a_elicit_5.wav	elyo ciindi cakufwa kwa israyeli nicakasika kufwaafwi wakaita mwanaakwe josefa wamwaambila kuti 
/scratch/skscla001/speech/data/toigen/audio/221230-121748_toi_b9a_elicit_24.wav	bantu bobilo bafwusa mabbola manji akwaajata oonse ciindi comwe bajisi amunzenge basobanina mbunga yabantu bakkede amatantilo 
/scratch/skscla001/speech/data/toigen/audio/221207-211353_toi_b9a_elicit_14.wav	bana bobile balakusobana a moota wakusobanisya munzila a muntu mupati omwe 
/scratch/skscla001/speech/data/toigen/audio/221230-122753_toi_b9a_elicit_43.wav	mukaintu ulaamasusu asiya mbi usamide kalembo kakukutaukila kamubala wanyanzabili ausubila wakkala akati kamalubaluba akusambala mumugwagwa wadolopo 
/scratch/skscla001/speech/data/toigen/audio/220927-211022_toi_97d_elicit_22.wav	hagare mu egepita mulanda wakwe musimbi abramu naakamana kukala myaka iili ikumi 
/scratch/skscla001/speech/data/toigen/audio/221210-174855_toi_b9a_elicit_16.wav	kana kasimbi kasamide cisani ca nkwiki kwiki walakama mulaka wakwe anze 
/scratch/skscla001/speech/data/toigen/audio/221207-182835_toi_b9a_elicit_10.wav	musimbi uyanda kuuma kaneti kalakusika atala a mutwe wakwe akasabwi kakaneti 
