sentence	BitsPerSample	durationMsec	speaker_gender	mother_tongue	audio
nkabela wakaambila balanda bakwe kuti amuzulule kunembo lyangu alimwi amutalamukane itanga limwi atanganyina 	16	6511	Male	toi	221011-153723_toi_308_elicit_16.wav
tunji tunji inga waakupiluka nolilampa nokuba kuti inga wazya wacembaala kale tacikwe mulimo 	16	7713	Male	toi	220829-113431_toi_0ae_elicit_29.wav
nkabela jakobo wakasika kabotu kumuni wa sekemu munyika yakanana naakazwa ku padanaramu wakayaka zilao zyakwe kunembo lyamunzi 	16	20872	Male	toi	221011-160540_toi_308_elicit_9.wav
kulibombya akuyoowa jehova kulaleta buvubi abulemu abuumi 	16	11956	Male	toi	220916-174104_toi_97d_elicit_14.wav
utavuwi mufubafuba mbuli bufubafuba bwakwe kuti uteelani awe ayebo vuwa mufubafuba mbuli bufubafuba bwakwe 	16	15132	Male	toi	220916-183449_toi_97d_elicit_42.wav
nyampuka uye ku beteli ukale nkuko uyake cipaililo ca leza oyo nguwenya iwakalibonya kulinduwe ciindi eciya nowakacija kubusyu bwa esau mukulana wako 	16	24661	Male	toi	221011-163041_toi_308_elicit_2.wav
munkomwi yajekete wakazwisya katobolo akasando kakwe akuzibikka kunsi aabbuku atebule kulembela 	16	14633	Male	toi	220912-174208_toi_97d_elicit_5.wav
uya kuleka iwakwe naimvwide nzala 	16	2246	Male	toi	220824-212101_toi_0ae_elicit_30.wav
koya kumunzi ukeete cisuwo 	16	1860	Male	toi	220829-121443_toi_0ae_elicit_12.wav
waakuswaya umwi muntu waku adulamu izina lyakwe kali hira 	16	7781	Male	toi	221011-170850_toi_308_elicit_43.wav
walyaanga akatambo kasalala pyu wati ngooyu mutaanzi kuzyalwa 	16	9392	Male	toi	221011-174142_toi_308_elicit_30.wav
alimwi kuti muntu nayanda kukwata nguni uutalik makani 	16	2790	Male	toi	220825-180654_toi_0ae_elicit_34.wav
umwi musankwa katana anzyigwa amakwaakwe 	16	2563	Male	toi	220829-205441_toi_0ae_elicit_20.wav
utasukami zilyo zyakwe zilweela nkaambo nzilyo zyalweeno utalikataazyi kuti ube muvubi 	16	15450	Male	toi	220916-174104_toi_97d_elicit_37.wav
lyoonse mabondo alacaala kaabwa 	16	2246	Male	toi	220829-115108_toi_0ae_elicit_1.wav
nokuba kuti yakamanide kale wakali kupala 	16	2563	Male	toi	220829-210823_toi_0ae_elicit_33.wav
bakabaambila kuti tatukonzyi kucita obo pe tatukonzyi kupa mucizi wesu kuti akwatwe kumwaalumi uutapalwidwe nkaambo kucita obo kulatuusya bweeme 	16	17741	Male	toi	221011-160540_toi_308_elicit_28.wav
nobakabuzigwa kuti muzwa kuli bakaamba kuti 	16	3153	Male	toi	220829-210132_toi_0ae_elicit_47.wav
mbuboobo mbwaakaulikwa izina lya israyeli alimwi leza wakamwaambila kuti 	16	6874	Male	toi	221011-163041_toi_308_elicit_13.wav
cimbo cipati caali kusobanwa kaindi ncinande 	16	4356	Male	toi	220829-113431_toi_0ae_elicit_41.wav
mumasi aa butonga amwi kuleka cizyanwa kubuwe kulike 	16	4787	Male	toi	220829-123454_toi_0ae_elicit_16.wav
kusisa makani nkokulemeka leza pele kuyubununa makani nkokulemeka bantu 	16	9891	Male	toi	220916-181440_toi_97d_elicit_14.wav
mbwaakasikilankokakala wakakaita 	16	2291	Male	toi	220829-121443_toi_0ae_elicit_37.wav
cakunyangana citola uya uunyangauka 	16	2314	Male	toi	220829-210823_toi_0ae_elicit_46.wav
ono sunu antela kaambyo takaambi mwanaa nya 	16	2767	Male	toi	220829-113431_toi_0ae_elicit_16.wav
wakati ncobeni njooselukila mukabanda mwaabede mwanaangu cakulila mbuboobo wisi mbwaakamulila 	16	12024	Male	toi	221011-170850_toi_308_elicit_40.wav
musa nkwa wakati eelyo mulandu wamyakaamyaka asunu nseciseswa 	16	4832	Male	toi	220829-115108_toi_0ae_elicit_36.wav
aawa ndati inga ndakkomana kuti mwaboola kwangu kwainda biyo cisela cawoola mulandijana 	16	11729	Male	toi	220912-165131_toi_97d_elicit_1.wav
kabe kaindi awalo musimbi waakwatwa kumbi 	16	2495	Male	toi	220829-115108_toi_0ae_elicit_32.wav
bona myaka iili makumi obile ndakakala kulinduwe imbelele zyako ampongo zyako tazikwe nizyakasowa 	16	14860	Male	toi	221011-123458_toi_308_elicit_14.wav
amulanda musimbi uulya izina lyanamalelo wakwe nkozili zintu zyone ansi nziniini 	16	13725	Male	toi	220916-171743_toi_97d_elicit_22.wav
ceo taci kooyooyeeyegwa limbi munyika nkaambo kanzala iiyoosyaalila nkaambo iyoobija loko 	16	10322	Male	toi	221011-181531_toi_308_elicit_26.wav
twakalota ziloto toonse tobile mubusiku bomwe umwi aumwi wakalota ciloto cipandululwa bumbi 	16	10980	Male	toi	221011-181531_toi_308_elicit_3.wav
pesi sunu tujana kuti budima bwakafwa 	16	2563	Male	toi	220829-123454_toi_0ae_elicit_12.wav
wakakaka mupulisa kumwi kalanga mpotomona inga waaleta mali ku opesi yabweende bwamumigwagwa 	16	16493	Male	toi	220912-171124_toi_97d_elicit_42.wav
awabili awatatu abasimatanga bakali musule boonse buyo wakabalailila kuti mbuboobu mbumweelede kwaambila esau mwamujana 	16	12636	Male	toi	221011-153723_toi_308_elicit_19.wav
bakatola umwi aumwi ipanga lyakwe boongomokela munzi bajaya baalumi boonse 	16	10980	Male	toi	221011-160540_toi_308_elicit_43.wav
ku buluwayo kucitijilo cabasankwa 	16	2178	Male	toi	220829-115108_toi_0ae_elicit_28.wav
ono bumwi buzuba nduwe ooya kuba mweendo 	16	2745	Male	toi	220829-210823_toi_0ae_elicit_20.wav
ambeyo kaambo aka ndaali kukayeeya lyoonse sunu nkabela wakaunka 	16	5218	Male	toi	220829-121443_toi_0ae_elicit_36.wav
azisyu zyakuzilundu zyacelwa tubelele tulakupa zyakusama ampongo zilaleta muulo wamuunda 	16	2881	Male	toi	220912-191425_toi_97d_elicit_42.wav
nkabela muuya wakwe nowakaamba kumusia nkaambo wakafwa wakamuulika izina lya benoni pele wisi wakamuulika izina lya benjamini 	16	19874	Male	toi	221011-163041_toi_308_elicit_23.wav
basike farao wakabalwiida ciloto cakwe pele katakwe naba omwe iwakakonzya kucipandulula 	16	13635	Male	toi	221011-181531_toi_308_elicit_0.wav
kwiinda oyo uubombeka bombeka alulimi lwakwe kufumbwa uubbida wisi abanyina 	16	12205	Male	toi	220916-164149_toi_97d_elicit_17.wav
