audio	sentence
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_16.wav.wav	nkabela wakaambila balanda bakwe kuti amuzulule kunembo lyangu alimwi amutalamukane itanga limwi atanganyina 
/scratch/skscla001/speech/data/toigen/audio/220829-113431_toi_0ae_elicit_29.wav.wav	tunji tunji inga waakupiluka nolilampa nokuba kuti inga wazya wacembaala kale tacikwe mulimo 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_9.wav.wav	nkabela jakobo wakasika kabotu kumuni wa sekemu munyika yakanana naakazwa ku padanaramu wakayaka zilao zyakwe kunembo lyamunzi 
/scratch/skscla001/speech/data/toigen/audio/220916-174104_toi_97d_elicit_14.wav.wav	kulibombya akuyoowa jehova kulaleta buvubi abulemu abuumi 
/scratch/skscla001/speech/data/toigen/audio/220916-183449_toi_97d_elicit_42.wav.wav	utavuwi mufubafuba mbuli bufubafuba bwakwe kuti uteelani awe ayebo vuwa mufubafuba mbuli bufubafuba bwakwe 
/scratch/skscla001/speech/data/toigen/audio/221011-163041_toi_308_elicit_2.wav.wav	nyampuka uye ku beteli ukale nkuko uyake cipaililo ca leza oyo nguwenya iwakalibonya kulinduwe ciindi eciya nowakacija kubusyu bwa esau mukulana wako 
/scratch/skscla001/speech/data/toigen/audio/220912-174208_toi_97d_elicit_5.wav.wav	munkomwi yajekete wakazwisya katobolo akasando kakwe akuzibikka kunsi aabbuku atebule kulembela 
/scratch/skscla001/speech/data/toigen/audio/220824-212101_toi_0ae_elicit_30.wav.wav	uya kuleka iwakwe naimvwide nzala 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_12.wav.wav	koya kumunzi ukeete cisuwo 
/scratch/skscla001/speech/data/toigen/audio/221011-170850_toi_308_elicit_43.wav.wav	waakuswaya umwi muntu waku adulamu izina lyakwe kali hira 
/scratch/skscla001/speech/data/toigen/audio/221011-174142_toi_308_elicit_30.wav.wav	walyaanga akatambo kasalala pyu wati ngooyu mutaanzi kuzyalwa 
/scratch/skscla001/speech/data/toigen/audio/220825-180654_toi_0ae_elicit_34.wav.wav	alimwi kuti muntu nayanda kukwata nguni uutalik makani 
/scratch/skscla001/speech/data/toigen/audio/220829-205441_toi_0ae_elicit_20.wav.wav	umwi musankwa katana anzyigwa amakwaakwe 
/scratch/skscla001/speech/data/toigen/audio/220916-174104_toi_97d_elicit_37.wav.wav	utasukami zilyo zyakwe zilweela nkaambo nzilyo zyalweeno utalikataazyi kuti ube muvubi 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_1.wav.wav	lyoonse mabondo alacaala kaabwa 
/scratch/skscla001/speech/data/toigen/audio/220829-210823_toi_0ae_elicit_33.wav.wav	nokuba kuti yakamanide kale wakali kupala 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_28.wav.wav	bakabaambila kuti tatukonzyi kucita obo pe tatukonzyi kupa mucizi wesu kuti akwatwe kumwaalumi uutapalwidwe nkaambo kucita obo kulatuusya bweeme 
/scratch/skscla001/speech/data/toigen/audio/220829-210132_toi_0ae_elicit_47.wav.wav	nobakabuzigwa kuti muzwa kuli bakaamba kuti 
/scratch/skscla001/speech/data/toigen/audio/221011-163041_toi_308_elicit_13.wav.wav	mbuboobo mbwaakaulikwa izina lya israyeli alimwi leza wakamwaambila kuti 
/scratch/skscla001/speech/data/toigen/audio/220829-113431_toi_0ae_elicit_41.wav.wav	cimbo cipati caali kusobanwa kaindi ncinande 
/scratch/skscla001/speech/data/toigen/audio/220829-123454_toi_0ae_elicit_16.wav.wav	mumasi aa butonga amwi kuleka cizyanwa kubuwe kulike 
/scratch/skscla001/speech/data/toigen/audio/220916-181440_toi_97d_elicit_14.wav.wav	kusisa makani nkokulemeka leza pele kuyubununa makani nkokulemeka bantu 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_37.wav.wav	mbwaakasikilankokakala wakakaita 
/scratch/skscla001/speech/data/toigen/audio/220829-210823_toi_0ae_elicit_46.wav.wav	cakunyangana citola uya uunyangauka 
/scratch/skscla001/speech/data/toigen/audio/220829-113431_toi_0ae_elicit_16.wav.wav	ono sunu antela kaambyo takaambi mwanaa nya 
/scratch/skscla001/speech/data/toigen/audio/221011-170850_toi_308_elicit_40.wav.wav	wakati ncobeni njooselukila mukabanda mwaabede mwanaangu cakulila mbuboobo wisi mbwaakamulila 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_36.wav.wav	musa nkwa wakati eelyo mulandu wamyakaamyaka asunu nseciseswa 
/scratch/skscla001/speech/data/toigen/audio/220912-165131_toi_97d_elicit_1.wav.wav	aawa ndati inga ndakkomana kuti mwaboola kwangu kwainda biyo cisela cawoola mulandijana 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_32.wav.wav	kabe kaindi awalo musimbi waakwatwa kumbi 
/scratch/skscla001/speech/data/toigen/audio/221011-123458_toi_308_elicit_14.wav.wav	bona myaka iili makumi obile ndakakala kulinduwe imbelele zyako ampongo zyako tazikwe nizyakasowa 
/scratch/skscla001/speech/data/toigen/audio/220916-171743_toi_97d_elicit_22.wav.wav	amulanda musimbi uulya izina lyanamalelo wakwe nkozili zintu zyone ansi nziniini 
/scratch/skscla001/speech/data/toigen/audio/221011-181531_toi_308_elicit_26.wav.wav	ceo taci kooyooyeeyegwa limbi munyika nkaambo kanzala iiyoosyaalila nkaambo iyoobija loko 
/scratch/skscla001/speech/data/toigen/audio/221011-181531_toi_308_elicit_3.wav.wav	twakalota ziloto toonse tobile mubusiku bomwe umwi aumwi wakalota ciloto cipandululwa bumbi 
/scratch/skscla001/speech/data/toigen/audio/220829-123454_toi_0ae_elicit_12.wav.wav	pesi sunu tujana kuti budima bwakafwa 
/scratch/skscla001/speech/data/toigen/audio/220912-171124_toi_97d_elicit_42.wav.wav	wakakaka mupulisa kumwi kalanga mpotomona inga waaleta mali ku opesi yabweende bwamumigwagwa 
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_19.wav.wav	awabili awatatu abasimatanga bakali musule boonse buyo wakabalailila kuti mbuboobu mbumweelede kwaambila esau mwamujana 
/scratch/skscla001/speech/data/toigen/audio/221011-160540_toi_308_elicit_43.wav.wav	bakatola umwi aumwi ipanga lyakwe boongomokela munzi bajaya baalumi boonse 
/scratch/skscla001/speech/data/toigen/audio/220829-115108_toi_0ae_elicit_28.wav.wav	ku buluwayo kucitijilo cabasankwa 
/scratch/skscla001/speech/data/toigen/audio/220829-210823_toi_0ae_elicit_20.wav.wav	ono bumwi buzuba nduwe ooya kuba mweendo 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_36.wav.wav	ambeyo kaambo aka ndaali kukayeeya lyoonse sunu nkabela wakaunka 
/scratch/skscla001/speech/data/toigen/audio/220912-191425_toi_97d_elicit_42.wav.wav	azisyu zyakuzilundu zyacelwa tubelele tulakupa zyakusama ampongo zilaleta muulo wamuunda 
/scratch/skscla001/speech/data/toigen/audio/221011-163041_toi_308_elicit_23.wav.wav	nkabela muuya wakwe nowakaamba kumusia nkaambo wakafwa wakamuulika izina lya benoni pele wisi wakamuulika izina lya benjamini 
/scratch/skscla001/speech/data/toigen/audio/221011-181531_toi_308_elicit_0.wav.wav	basike farao wakabalwiida ciloto cakwe pele katakwe naba omwe iwakakonzya kucipandulula 
/scratch/skscla001/speech/data/toigen/audio/220916-164149_toi_97d_elicit_17.wav.wav	kwiinda oyo uubombeka bombeka alulimi lwakwe kufumbwa uubbida wisi abanyina 
/scratch/skscla001/speech/data/toigen/audio/221011-181531_toi_308_elicit_2.wav.wav	ciindi eciya farao naakakalalila balanda bakwe akutwaanga muntolongo mung anda yasilutwe wabatabilizi mebo amupati wabajisi 
/scratch/skscla001/speech/data/toigen/audio/220825-180654_toi_0ae_elicit_24.wav.wav	walo kuti kazyi kuti ngowaabisya unakwiide kuumunye akulindila nduwe 
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_47.wav.wav	elyo esau wakabuzya kuti nkokutyeni aya makamu makamu ngendakaswana wakavuwa kuti nkokujana buuya mumeso aamwami wangu 
/scratch/skscla001/speech/data/toigen/audio/220912-160501_toi_97d_elicit_37.wav.wav	tiikwakainda aciindi cilamfwu alimwi kwakalimvwisya jwi lyamuntu ndime dakuungila nendikanana okuno 
/scratch/skscla001/speech/data/toigen/audio/220825-172540_toi_0ae_elicit_39.wav.wav	kunjila mumapenzi aatapasulukiki 
/scratch/skscla001/speech/data/toigen/audio/220824-212101_toi_0ae_elicit_29.wav.wav	kujana kacelo kaligwa uya kuti pe ootu ntolele twana twangu kumunzi 
/scratch/skscla001/speech/data/toigen/audio/220907-203915_toi_97d_elicit_38.wav.wav	ndaamba nduwe lwando wakavwiila haamwaandwe cakurwenyuka nduwe cinyama ooinda kubija kuzinyama 
/scratch/skscla001/speech/data/toigen/audio/220829-210132_toi_0ae_elicit_46.wav.wav	wesu bakali kusambala nswi 
/scratch/skscla001/speech/data/toigen/audio/221011-163041_toi_308_elicit_6.wav.wav	elyo mukweenda kwabo buyoofu buzwa kuli leza bwakajata minzi iyakeengelede aboobo teebakatobela bana ba jakobo 
/scratch/skscla001/speech/data/toigen/audio/220824-212101_toi_0ae_elicit_15.wav.wav	pesi kufumbwa ncaacita baamba zina lyausyi ategwa mulange mwanaa ndaba 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_44.wav.wav	akukasibika kuti bazikufume kulisya bana buntu 
/scratch/skscla001/speech/data/toigen/audio/220916-171743_toi_97d_elicit_7.wav.wav	cakwaamba kuti ma ngwani jehova alimwi ntapengi mubucete akubba 
/scratch/skscla001/speech/data/toigen/audio/221011-153723_toi_308_elicit_30.wav.wav	wakamubuzya kuti nduweni izina lyako wakati ndime jakobo 
/scratch/skscla001/speech/data/toigen/audio/221011-181531_toi_308_elicit_12.wav.wav	lino kusule lyazeezyo mwakazwa impwizi azimwi zili musanu azibili zikotede zili aziwa zibi ziyuminide loko amibili yazyo 
/scratch/skscla001/speech/data/toigen/audio/220907-203915_toi_97d_elicit_43.wav.wav	tee babwa mbabatasali banga kufwumbwa banyina walo nkutanta 
/scratch/skscla001/speech/data/toigen/audio/220829-121443_toi_0ae_elicit_46.wav.wav	nkujana kunyina aciliko oonse musinza kukwa bakalu 
